                                              Software Resources List                                                   Page     1
5770SS1 V7R5M0  220415                                                                            PUB400    10/06/23  18:06:59 UTC
                                                      Software Resources List
 Resource                         Feature
    ID       Option    Feature     Type      Library       Release       Description
 5770SS1     3          2974       *LNG      QSYS2974      V7R5M0        Extended Base Directory Support
 5770SS1     3          2975       *LNG      QSYS2975      V7R5M0        Extended Base Directory Support
 5770SS1     3          2976       *LNG      QSYS2976      V7R5M0        Extended Base Directory Support
 5770SS1     3          2978       *LNG      QSYS2978      V7R5M0        Extended Base Directory Support
 5770SS1     3          2979       *LNG      QSYS2979      V7R5M0        Extended Base Directory Support
 5770SS1     3          2980       *LNG      QSYS2980      V7R5M0        Extended Base Directory Support
 5770SS1     3          2981       *LNG      QSYS2981      V7R5M0        Extended Base Directory Support
 5770SS1     3          2984       *LNG      QSYS2984      V7R5M0        Extended Base Directory Support
 5770SS1     3          2986       *LNG      QSYS2986      V7R5M0        Extended Base Directory Support
 5770SS1     3          2987       *LNG      QSYS2987      V7R5M0        Extended Base Directory Support
 5770SS1     3          2989       *LNG      QSYS2989      V7R5M0        Extended Base Directory Support
 5770SS1     3          2992       *LNG      QSYS2992      V7R5M0        Extended Base Directory Support
 5770SS1     3          2994       *LNG      QSYS2994      V7R5M0        Extended Base Directory Support
 5770SS1     3          2995       *LNG      QSYS2995      V7R5M0        Extended Base Directory Support
 5770SS1     3          2996       *LNG      QSYS2996      V7R5M0        Extended Base Directory Support
 5770SS1     3          2998       *LNG      QSYS2998      V7R5M0        Extended Base Directory Support
 5770SS1     5          2911       *LNG      QSYS2911      V7R4M0        System/36 Environment
 5770SS1     5          5050       *CODE     QSSP          V7R5M0        System/36 Environment
 5770SS1     5          2902       *LNG      QSYS2902      V7R5M0        System/36 Environment
 5770SS1     5          2903       *LNG      QSYS2903      V7R5M0        System/36 Environment
 5770SS1     5          2904       *LNG      QSYS2904      V7R5M0        System/36 Environment
 5770SS1     5          2905       *LNG      QSYS2905      V7R5M0        System/36 Environment
 5770SS1     5          2909       *LNG      QSYS2909      V7R5M0        System/36 Environment
 5770SS1     5          2912       *LNG      QSYS2912      V7R5M0        System/36 Environment
 5770SS1     5          2913       *LNG      QSYS2913      V7R5M0        System/36 Environment
 5770SS1     5          2914       *LNG      QSYS2914      V7R5M0        System/36 Environment
 5770SS1     5          2922       *LNG      QSYS2922      V7R5M0        System/36 Environment
 5770SS1     5          2923       *LNG      QSYS2923      V7R5M0        System/36 Environment
 5770SS1     5          2924       *LNG      QSSP          V7R5M0        System/36 Environment
 5770SS1     5          2925       *LNG      QSYS2925      V7R5M0        System/36 Environment
 5770SS1     5          2926       *LNG      QSYS2926      V7R5M0        System/36 Environment
 5770SS1     5          2928       *LNG      QSYS2928      V7R5M0        System/36 Environment
 5770SS1     5          2929       *LNG      QSYS2929      V7R5M0        System/36 Environment
 5770SS1     5          2930       *LNG      QSYS2930      V7R5M0        System/36 Environment
 5770SS1     5          2931       *LNG      QSYS2931      V7R5M0        System/36 Environment
 5770SS1     5          2932       *LNG      QSYS2932      V7R5M0        System/36 Environment
 5770SS1     5          2933       *LNG      QSYS2933      V7R5M0        System/36 Environment
 5770SS1     5          2937       *LNG      QSYS2937      V7R5M0        System/36 Environment
 5770SS1     5          2938       *LNG      QSYS2938      V7R5M0        System/36 Environment
 5770SS1     5          2939       *LNG      QSYS2939      V7R5M0        System/36 Environment
 5770SS1     5          2940       *LNG      QSYS2940      V7R5M0        System/36 Environment
 5770SS1     5          2942       *LNG      QSYS2942      V7R5M0        System/36 Environment
 5770SS1     5          2954       *LNG      QSYS2954      V7R5M0        System/36 Environment
 5770SS1     5          2956       *LNG      QSYS2956      V7R5M0        System/36 Environment
 5770SS1     5          2957       *LNG      QSYS2957      V7R5M0        System/36 Environment
 5770SS1     5          2958       *LNG      QSYS2958      V7R5M0        System/36 Environment
 5770SS1     5          2961       *LNG      QSYS2961      V7R5M0        System/36 Environment
 5770SS1     5          2962       *LNG      QSYS2962      V7R5M0        System/36 Environment
 5770SS1     5          2963       *LNG      QSYS2963      V7R5M0        System/36 Environment
 5770SS1     5          2966       *LNG      QSYS2966      V7R5M0        System/36 Environment
 5770SS1     5          2972       *LNG      QSYS2972      V7R5M0        System/36 Environment
 5770SS1     5          2974       *LNG      QSYS2974      V7R5M0        System/36 Environment
 5770SS1     5          2975       *LNG      QSYS2975      V7R5M0        System/36 Environment
